scenario,fiscal_year,metric,value,unit
Partial Recovery,2027,unassigned_gf_balance_floor_breached,1.0,boolean
Partial Recovery,2028,total_revenue,2249392761.8475,USD
Partial Recovery,2028,split_base_eligible_for_schools_transfer,1828102039.0,USD
Partial Recovery,2028,schools_transfer,1046222796.9197,USD
Partial Recovery,2028,total_committed_expenditure,2347380537.0497,USD
Partial Recovery,2028,surplus_or_deficit,-97987775.20219994,USD
Partial Recovery,2028,real_estate_tax_revenue,1027148385.4,USD
Partial Recovery,2028,assessed_value_base,145765330263.6,USD
Partial Recovery,2028,required_re_tax_rate_effective_per_100,0.7718818724366894,USD_per_100_AV
Partial Recovery,2028,required_re_tax_rate_nominal_per_100,0.9374329442729767,USD_per_100_AV
Partial Recovery,2028,required_re_rate_delta_vs_fy26_nominal,0.031432944272976715,USD_per_100_AV
Partial Recovery,2028,required_re_rate_delta_vs_fy27_nominal,0.07243294427297675,USD_per_100_AV
Partial Recovery,2028,debt_service_total,161363914.0,USD
Partial Recovery,2028,debt_service_to_revenue_ratio,0.07173665565966636,fraction
Partial Recovery,2028,debt_service_headroom_vs_10pct_cap,63575362.18474999,USD
Partial Recovery,2028,debt_service_cap_breached,0.0,boolean
Partial Recovery,2028,unassigned_gf_balance_eoy,-18150020.29970026,USD
Partial Recovery,2028,unassigned_gf_balance_policy_floor_7_5pct,168704457.13856247,USD
Partial Recovery,2028,unassigned_gf_balance_floor_breached,1.0,boolean
Partial Recovery,2029,total_revenue,2288411359.139875,USD
Partial Recovery,2029,split_base_eligible_for_schools_transfer,1856554929.0,USD
Partial Recovery,2029,schools_transfer,1062506385.8667,USD
Partial Recovery,2029,total_committed_expenditure,2443371481.8867,USD
Partial Recovery,2029,surplus_or_deficit,-154960122.74682522,USD
Partial Recovery,2029,real_estate_tax_revenue,1038120479.0,USD
Partial Recovery,2029,assessed_value_base,152426316146.29648,USD
Partial Recovery,2029,required_re_tax_rate_effective_per_100,0.7827261275551162,USD_per_100_AV
Partial Recovery,2029,required_re_tax_rate_nominal_per_100,0.9506030449932109,USD_per_100_AV
Partial Recovery,2029,required_re_rate_delta_vs_fy26_nominal,0.04460304499321088,USD_per_100_AV
Partial Recovery,2029,required_re_rate_delta_vs_fy27_nominal,0.08560304499321092,USD_per_100_AV
Partial Recovery,2029,debt_service_total,171711276.0,USD
Partial Recovery,2029,debt_service_to_revenue_ratio,0.07503514405930042,fraction
Partial Recovery,2029,debt_service_headroom_vs_10pct_cap,57129859.91398752,USD
Partial Recovery,2029,debt_service_cap_breached,0.0,boolean
Partial Recovery,2029,unassigned_gf_balance_eoy,-173110143.04652548,USD
Partial Recovery,2029,unassigned_gf_balance_policy_floor_7_5pct,171630851.9354906,USD
Partial Recovery,2029,unassigned_gf_balance_floor_breached,1.0,boolean
Partial Recovery,2030,total_revenue,2316136469.774869,USD
Partial Recovery,2030,split_base_eligible_for_schools_transfer,1873344409.0,USD
Partial Recovery,2030,schools_transfer,1072115005.2707001,USD
Partial Recovery,2030,total_committed_expenditure,2516678084.9407,USD
Partial Recovery,2030,surplus_or_deficit,-200541615.1658311,USD
Partial Recovery,2030,real_estate_tax_revenue,1044387696.2,USD
Partial Recovery,2030,assessed_value_base,157761237211.41684,USD
Partial Recovery,2030,required_re_tax_rate_effective_per_100,0.7891224317019607,USD_per_100_AV
Partial Recovery,2030,required_re_tax_rate_nominal_per_100,0.9583712106192714,USD_per_100_AV
Partial Recovery,2030,required_re_rate_delta_vs_fy26_nominal,0.05237121061927141,USD_per_100_AV
Partial Recovery,2030,required_re_rate_delta_vs_fy27_nominal,0.09337121061927145,USD_per_100_AV
Partial Recovery,2030,debt_service_total,176021071.0,USD
Partial Recovery,2030,debt_service_to_revenue_ratio,0.07599771140303725,fraction
Partial Recovery,2030,debt_service_headroom_vs_10pct_cap,55592575.97748691,USD
Partial Recovery,2030,debt_service_cap_breached,0.0,boolean
Partial Recovery,2030,unassigned_gf_balance_eoy,-373651758.21235657,USD
Partial Recovery,2030,unassigned_gf_balance_policy_floor_7_5pct,173710235.23311517,USD
Partial Recovery,2030,unassigned_gf_balance_floor_breached,1.0,boolean
Partial Recovery,2031,total_revenue,2348574436.661071,USD
Partial Recovery,2031,split_base_eligible_for_schools_transfer,1894461574.4888983,USD
Partial Recovery,2031,schools_transfer,1084200359.0799966,USD
Partial Recovery,2031,total_committed_expenditure,2587183865.8799963,USD
Partial Recovery,2031,surplus_or_deficit,-238609429.21892548,USD
Partial Recovery,2031,real_estate_tax_revenue,1052346246.9955593,USD
Partial Recovery,2031,assessed_value_base,163282880513.8164,USD
Partial Recovery,2031,required_re_tax_rate_effective_per_100,0.7906252462916642,USD_per_100_AV
